Timestamp,DroneID,Location,TaskType,TaskDuration(mins),Status,EdgeNode,BlockchainValidated,BatteryLevel(%),Payload(kg)
2025-01-01 00:00:00,DRONE_0052,Sector-B,Surveillance,47,Pending,EdgeNode_5,Yes,89,2.25
2025-01-01 00:01:00,DRONE_0093,Sector-B,Surveillance,96,Completed,EdgeNode_2,Yes,65,3.32
2025-01-01 00:02:00,DRONE_0015,Sector-A,Emergency Response,70,Completed,EdgeNode_2,No,53,2.4
2025-01-01 00:03:00,DRONE_0072,Sector-A,Delivery,13,In Progress,EdgeNode_4,Yes,79,2.54
2025-01-01 00:04:00,DRONE_0061,Sector-A,Delivery,10,Failed,EdgeNode_3,No,32,1.55
2025-01-01 00:05:00,DRONE_0021,Sector-D,Emergency Response,69,Failed,EdgeNode_5,No,55,0.34
2025-01-01 00:06:00,DRONE_0083,Sector-B,Surveillance,7,In Progress,EdgeNode_3,No,67,4.59
2025-01-01 00:07:00,DRONE_0087,Sector-C,Surveillance,78,Completed,EdgeNode_4,No,94,0.16
2025-01-01 00:08:00,DRONE_0075,Sector-D,Surveillance,41,Failed,EdgeNode_4,Yes,25,1.48
2025-01-01 00:09:00,DRONE_0075,Sector-D,Mapping,112,Completed,EdgeNode_3,No,24,2.29
2025-01-01 00:10:00,DRONE_0088,Sector-D,Traffic Monitoring,91,Failed,EdgeNode_3,Yes,84,1.66
2025-01-01 00:11:00,DRONE_0100,Sector-C,Surveillance,37,Pending,EdgeNode_3,No,69,2.8
2025-01-01 00:12:00,DRONE_0024,Sector-A,Traffic Monitoring,13,Pending,EdgeNode_1,No,93,2.36
2025-01-01 00:13:00,DRONE_0003,Sector-C,Traffic Monitoring,57,Failed,EdgeNode_4,Yes,93,1.35
2025-01-01 00:14:00,DRONE_0022,Sector-A,Delivery,81,Failed,EdgeNode_2,Yes,43,0.53
2025-01-01 00:15:00,DRONE_0053,Sector-C,Emergency Response,96,Failed,EdgeNode_1,No,26,0.77
2025-01-01 00:16:00,DRONE_0002,Sector-B,Mapping,55,In Progress,EdgeNode_5,Yes,77,2.48
2025-01-01 00:17:00,DRONE_0088,Sector-D,Traffic Monitoring,75,Failed,EdgeNode_2,Yes,40,4.25
2025-01-01 00:18:00,DRONE_0030,Sector-D,Mapping,30,In Progress,EdgeNode_2,Yes,52,0.59
2025-01-01 00:19:00,DRONE_0038,Sector-D,Delivery,20,In Progress,EdgeNode_2,No,63,3.42
2025-01-01 00:20:00,DRONE_0002,Sector-A,Surveillance,44,Pending,EdgeNode_4,No,44,3.98
2025-01-01 00:21:00,DRONE_0064,Sector-C,Traffic Monitoring,94,Failed,EdgeNode_5,No,99,1.46
2025-01-01 00:22:00,DRONE_0060,Sector-B,Emergency Response,55,Pending,EdgeNode_1,Yes,34,3.37
2025-01-01 00:23:00,DRONE_0021,Sector-C,Delivery,43,Pending,EdgeNode_5,No,48,3.46
2025-01-01 00:24:00,DRONE_0033,Sector-D,Mapping,59,In Progress,EdgeNode_1,No,71,3.57
2025-01-01 00:25:00,DRONE_0076,Sector-B,Surveillance,100,Completed,EdgeNode_4,Yes,36,4.46
2025-01-01 00:26:00,DRONE_0058,Sector-B,Mapping,40,In Progress,EdgeNode_5,No,55,2.05
2025-01-01 00:27:00,DRONE_0022,Sector-D,Emergency Response,110,Pending,EdgeNode_2,No,54,1.29
2025-01-01 00:28:00,DRONE_0089,Sector-C,Traffic Monitoring,69,In Progress,EdgeNode_5,No,59,2.76
2025-01-01 00:29:00,DRONE_0049,Sector-D,Emergency Response,117,In Progress,EdgeNode_4,Yes,42,0.41
2025-01-01 00:30:00,DRONE_0091,Sector-C,Mapping,89,In Progress,EdgeNode_4,Yes,92,1.74
2025-01-01 00:31:00,DRONE_0059,Sector-B,Mapping,81,Failed,EdgeNode_4,No,53,4.43
2025-01-01 00:32:00,DRONE_0042,Sector-B,Emergency Response,119,In Progress,EdgeNode_1,No,77,2.71
2025-01-01 00:33:00,DRONE_0092,Sector-D,Emergency Response,94,Pending,EdgeNode_5,Yes,99,2.24
2025-01-01 00:34:00,DRONE_0060,Sector-B,Emergency Response,49,In Progress,EdgeNode_2,Yes,80,1.4
2025-01-01 00:35:00,DRONE_0080,Sector-A,Surveillance,13,Failed,EdgeNode_2,Yes,47,1.33
2025-01-01 00:36:00,DRONE_0015,Sector-B,Mapping,41,Pending,EdgeNode_3,No,79,1.26
2025-01-01 00:37:00,DRONE_0062,Sector-A,Delivery,91,In Progress,EdgeNode_4,No,51,4.16
2025-01-01 00:38:00,DRONE_0062,Sector-B,Surveillance,5,Pending,EdgeNode_2,Yes,77,4.93
2025-01-01 00:39:00,DRONE_0047,Sector-D,Surveillance,70,Failed,EdgeNode_4,Yes,63,2.72
2025-01-01 00:40:00,DRONE_0062,Sector-D,Surveillance,67,Completed,EdgeNode_2,No,53,0.49
2025-01-01 00:41:00,DRONE_0051,Sector-A,Delivery,47,Failed,EdgeNode_5,Yes,40,3.78
2025-01-01 00:42:00,DRONE_0055,Sector-D,Emergency Response,32,Failed,EdgeNode_3,No,20,4.4
2025-01-01 00:43:00,DRONE_0064,Sector-B,Mapping,104,Pending,EdgeNode_4,Yes,74,4.66
2025-01-01 00:44:00,DRONE_0003,Sector-B,Traffic Monitoring,35,Pending,EdgeNode_1,No,99,3.18
2025-01-01 00:45:00,DRONE_0051,Sector-D,Traffic Monitoring,109,Completed,EdgeNode_1,Yes,68,2.58
2025-01-01 00:46:00,DRONE_0007,Sector-B,Mapping,73,Completed,EdgeNode_2,No,40,3.14
2025-01-01 00:47:00,DRONE_0021,Sector-C,Delivery,105,Completed,EdgeNode_5,Yes,74,0.16
2025-01-01 00:48:00,DRONE_0073,Sector-C,Traffic Monitoring,93,Failed,EdgeNode_4,No,46,3.31
